"meta_score","title","platform","user_score"
80,"Wii Fit","WII",7.7
67,"CrossworDS","DS",7.3
82,"Mario Kart Wii","WII",8.5
59,"Pokemon Mystery Dungeon: Explorers of Darkness","DS",8.6
60,"Pokemon Mystery Dungeon: Explorers of Time","DS",8.4
93,"Super Smash Bros. Brawl","WII",8.8
85,"Professor Layton and the Curious Village","DS",8.4
70,"Mario & Sonic at the Olympic Games","DS",7
72,"Endless Ocean","WII",8.2
86,"Advance Wars: Days of Ruin","DS",8.5
72,"Mario Party DS","DS",7.8
68,"Link's Crossbow Training","WII",7.1
97,"Super Mario Galaxy","WII",9.1
67,"Mario & Sonic at the Olympic Games","WII",7.6
78,"Fire Emblem: Radiant Dawn","WII",8.9
75,"Battalion Wars 2","WII",8.2
59,"Flash Focus: Vision Training in Minutes a Day","DS",3.8
46,"Donkey Kong: Barrel Blast","WII",6.6
90,"The Legend of Zelda: Phantom Hourglass","DS",7.9
78,"Chibi-Robo! Park Patrol","DS",7.7
77,"DK: Jungle Climber","DS",6.7
90,"Metroid Prime 3: Corruption","WII",8.8
77,"Brain Age 2: More Training in Minutes a Day","DS",7.1
79,"Mario Strikers Charged","WII",8.2
83,"Picross DS","DS",7.9
53,"Pokemon Battle Revolution","WII",6.6
68,"Big Brain Academy: Wii Degree","WII",7.1
86,"Planet Puzzle League","DS",7.9
62,"Mario Party 8","WII",6.6
85,"Pokemon Diamond Version","DS",8.2
85,"Pokemon Pearl Version","DS",8.2
85,"Super Paper Mario","WII",8
74,"Custom Robo Arena","DS",8.3
60,"Wario: Master of Disguise","DS",7.3
58,"Wii Play","WII",6.6
63,"Diddy Kong Racing DS","DS",7
92,"Final Fantasy VI Advance","GBA",8.7
78,"Hotel Dusk: Room 215","DS",8.6
83,"WarioWare: Smooth Moves","WII",7.6
96,"The Legend of Zelda: Twilight Princess","GC",9
71,"Kirby: Squeak Squad","DS",7.8
95,"The Legend of Zelda: Twilight Princess","WII",9
72,"Excite Truck","WII",8.3
76,"Wii Sports","WII",8.1
81,"Yoshi's Island DS","DS",8.1
87,"Elite Beat Agents","DS",8.5
83,"Final Fantasy V Advance","GBA",8.2
65,"Children of Mana","DS",6.4
69,"Pokemon Ranger","DS",7.2
69,"Magical Starsign","DS",7.8
83,"Nintendogs: Dalmatian & Friends","DS",7.4
83,"Clubhouse Games","DS",7.8
76,"Mario vs. Donkey Kong 2: March of the Minis","DS",7.8
75,"Baten Kaitos Origins","GC",8.3
62,"Pokemon Mystery Dungeon: Blue Rescue Team","DS",8
67,"Pokemon Mystery Dungeon: Red Rescue Team","GBA",8.2
69,"Mario Hoops: 3 on 3","DS",7.8
76,"Star Fox Command","DS",6.8
37,"Tenchu: Dark Secret","DS",5.6
62,"Sudoku Gridmaster","DS",6
74,"Big Brain Academy","DS",7.4
68,"Magnetica","DS",7.7
89,"New Super Mario Bros.","DS",8.6
77,"Brain Age: Train Your Brain in Minutes a Day!","DS",7.5
62,"Odama","GC",7.6
85,"Metroid Prime: Hunters","DS",7.7
84,"Tetris DS","DS",7.9
74,"Pokemon Trozei!","DS",7.2
76,"Tales of Phantasia","GBA",8.1
75,"Super Princess Peach","DS",8
75,"Chibi-Robo!","GC",8.8
81,"Drill Dozer","GBA",8.7
66,"True Swing Golf","DS",7.7
71,"Electroplankton","DS",7
85,"Final Fantasy IV Advance","GBA",8.4
86,"Animal Crossing: Wild World","DS",8.5
76,"Super Mario Strikers","GC",8.6
81,"Mario Tennis: Power Tour","GBA",8.6
86,"Mario & Luigi: Partners in Time","DS",8.5
74,"Dr. Mario / Puzzle League","GBA",8
91,"Mario Kart DS","DS",8.7
64,"Mario Party 7","GC",7.7
77,"Donkey Kong Country 3","GBA",8.2
79,"Metroid Prime Pinball","DS",7.9
69,"Dance Dance Revolution: Mario Mix","GC",8.1
85,"Fire Emblem: Path of Radiance","GC",9.1
64,"Pokemon XD: Gale of Darkness","GC",8.2
70,"Trace Memory","DS",8.1
76,"Battalion Wars","GC",8.4
70,"DK: King of Swing","GBA",5.7
76,"Mario Superstar Baseball","GC",8.4
56,"Dynasty Warriors Advance","GBA",7.6
90,"Advance Wars: Dual Strike","DS",8.8
83,"Nintendogs: Chihuahua & Friends","DS",7.8
83,"Nintendogs: Dachshund & Friends","DS",7.9
83,"Nintendogs: Lab & Friends","DS",7.6
66,"Geist","GC",8
88,"Meteos","DS",7.4
86,"Kirby: Canvas Curse","DS",7.8
60,"Yoshi Topsy-Turvy","GBA",7.1
85,"Fire Emblem: The Sacred Stones","GBA",9
88,"WarioWare: Twisted!","GBA",8.7
69,"Donkey Konga 2","GC",7
76,"Pokemon Emerald Version","GBA",8.9
73,"Polarium","DS",8.2
54,"Mario Party Advance","GBA",4.8
